row_id,year,id,GDP（亿元）,地方一般公共预算支出（亿元）,环境保护支出（亿元）,占比
399,2019,陕西,25793.17,5718.5163,245.4839,0.0429279007213812
400,2019,甘肃,8718.3,3951.5991,106.516,0.0269551635437917
401,2019,青海,2965.95,1863.6676,69.3826,0.0372290638094476
402,2019,宁夏,3748.48,1438.2916,54.0388,0.0375715188769788
403,2019,新疆,13597.11,5315.49,87.8639,0.0165297837076168
404,2020,北京,36102.55,7116.1764,236.9031,0.0332907852031324
405,2020,天津,14083.73,3151.3505,60.7182,0.0192673585499296
406,2020,河北,36206.89,9022.7941,509.2682,0.0564424051303576
407,2020,山西,17651.93,5110.8746,260.2773,0.0509261761186627
408,2020,内蒙古,17359.82,5270.1616,149.3671,0.0283420341417994
409,2020,辽宁,25114.96,6014.1675,97.9393,0.0162847642670411
410,2020,吉林,12311.32,4127.1714,131.5335,0.0318701326530805
411,2020,黑龙江,13698.5,5449.411,220.2687,0.0404206436255221
412,2020,上海,38700.58,8102.112,181.8848,0.0224490601956626
413,2020,江苏,102718.98,13681.5522,336.9007,0.0246244501409716
414,2020,浙江,64613.34,10082.008,220.5855,0.0218791236825045
415,2020,安徽,38680.63,7473.5925,190.8277,0.0255335971288239
416,2020,福建,43903.89,5216.0979,156.4246,0.0299888159691175
